fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
2023-09-15;Palencia;68889;23;4580;767;34120;42.432128,-4.520647
2023-09-15;Soria;35769;2;2336;398;42173;41.666667,-2.666667
2023-09-15;Valladolid;199654;92;13620;1805;47186;41.583333,-4.666667
2023-09-15;Zamora;59752;23;4303;767;49275;41.75,-6.0
2023-09-15;Ávila;58089;28;3820;661;5019;40.616092,-4.929031
2023-09-15;Segovia;52803;19;3073;493;40004;41.166667,-4.0
2023-09-15;Burgos;130899;26;8492;1206;9059;42.383333,-3.666667
2023-09-15;León;153288;69;10746;1760;24089;42.666667,-6.0
2023-09-15;Salamanca;120927;53;7693;1291;37274;40.833333,-6.0
2023-09-14;Ávila;58044;21;3817;659;5019;40.616092,-4.929031
2023-09-14;Palencia;68872;19;4576;767;34120;42.432128,-4.520647
2023-09-14;Burgos;130866;23;8486;1206;9059;42.383333,-3.666667
2023-09-14;Salamanca;120841;36;7683;1290;37274;40.833333,-6.0
2023-09-14;Valladolid;199480;78;13605;1805;47186;41.583333,-4.666667
2023-09-14;León;153150;51;10738;1760;24089;42.666667,-6.0
2023-09-14;Segovia;52757;16;3069;493;40004;41.166667,-4.0
2023-09-14;Soria;35752;2;2335;398;42173;41.666667,-2.666667
2023-09-14;Zamora;59704;22;4298;765;49275;41.75,-6.0
2023-09-13;Palencia;68853;22;4574;767;34120;42.432128,-4.520647
2023-09-13;Salamanca;120805;45;7674;1290;37274;40.833333,-6.0
2023-09-13;Soria;35750;7;2332;398;42173;41.666667,-2.666667
2023-09-13;Zamora;59682;22;4295;765;49275;41.75,-6.0
2023-09-13;Burgos;130843;14;8479;1205;9059;42.383333,-3.666667
2023-09-13;León;153099;71;10734;1760;24089;42.666667,-6.0
2023-09-13;Valladolid;199402;112;13589;1804;47186;41.583333,-4.666667
2023-09-13;Ávila;58023;28;3815;658;5019;40.616092,-4.929031
2023-09-13;Segovia;52741;21;3063;492;40004;41.166667,-4.0
2023-09-12;Ávila;57995;33;3813;658;5019;40.616092,-4.929031
2023-09-12;Burgos;130829;22;8474;1205;9059;42.383333,-3.666667
2023-09-12;Segovia;52720;20;3054;492;40004;41.166667,-4.0
2023-09-12;Soria;35743;9;2330;398;42173;41.666667,-2.666667
2023-09-12;Valladolid;199290;74;13571;1803;47186;41.583333,-4.666667
2023-09-12;Palencia;68831;28;4567;765;34120;42.432128,-4.520647
2023-09-12;Salamanca;120760;53;7659;1288;37274;40.833333,-6.0
2023-09-12;Zamora;59660;16;4293;765;49275;41.75,-6.0
2023-09-12;León;153028;60;10730;1760;24089;42.666667,-6.0
2023-09-11;León;152968;70;10726;1760;24089;42.666667,-6.0
2023-09-11;Palencia;68803;25;4564;765;34120;42.432128,-4.520647
2023-09-11;Segovia;52700;16;3047;491;40004;41.166667,-4.0
2023-09-11;Salamanca;120707;56;7653;1288;37274;40.833333,-6.0
2023-09-11;Valladolid;199216;100;13550;1802;47186;41.583333,-4.666667
